#datetime,vwap
1591115340,20.8890
1591115400,20.8868
1591115460,20.8796
1591115520,20.8787
1591115580,20.8798
1591115640,20.8812
1591115700,20.8809
1591115760,20.8816
1591115820,20.8793
1591115880,20.8828
1591115940,20.8889
1591116000,20.8868
1591116060,20.8875
1591116120,20.9006
1591116180,20.8983
1591116240,20.8883
1591116300,20.8921
1591116360,20.8946
1591116420,20.8928
1591116480,20.8757
1591116540,20.8625
1591116600,20.8597
1591116660,20.8629
1591116720,20.8644
1591116780,20.8655
1591116840,20.8647
1591116900,20.8710
1591116960,20.8744
1591117020,20.8809
1591117080,20.8810
1591117140,20.8713
1591117200,20.8609
1591117260,20.8681
1591117320,20.8697
1591117380,20.8597
1591117440,20.8628
1591117500,20.8623
1591117560,20.8576
1591117620,20.8584
1591117680,20.8627
1591117740,20.8627
1591117800,20.8656
1591117860,20.8588
1591117920,20.8686
1591117980,20.8517
1591118040,20.8464
1591118100,20.8464
1591118160,20.8488
1591118220,20.8452
1591118280,20.8479
1591118340,20.8579
1591118400,20.8498
1591118460,20.8456
1591118520,20.8373
1591118580,20.8330
1591118640,20.8347
1591118700,20.8404
1591118760,20.8369
1591118820,20.8439
1591118880,20.8441
1591118940,20.8431
1591119000,20.8397
1591119060,20.8490
1591119120,20.8583
1591119180,20.8652
1591119240,20.8627
1591119300,20.8645
1591119360,20.8699
1591119420,20.8800
1591119480,20.8801
1591119540,20.8897
1591119600,20.8971
1591119660,20.8979
1591119720,20.8909
1591119780,20.8908
1591119840,20.8941
1591119900,20.8928
1591119960,20.8922
1591120020,20.8830
1591120080,20.8652
1591120140,20.8680
1591120200,20.8717
1591120260,20.8792
1591120320,20.8743
1591120380,20.8682
1591120440,20.8665
1591120500,20.8775
1591120560,20.8793
1591120620,20.8843
1591120680,20.8847
1591120740,20.8977
1591120800,20.9035
1591120860,20.9176
1591120920,20.9239
1591120980,20.9238
1591121040,20.9145
1591121100,20.9067
1591121160,20.9090
1591121220,20.9082
1591121280,20.9072
1591121340,20.9051
1591121400,20.9210
1591121460,20.9211
1591121520,20.9196
1591121580,20.9128
1591121640,20.9102
1591121700,20.9139
1591121760,20.9220
1591121820,20.9298
1591121880,20.9332
1591121940,20.9398
1591122000,20.9430
1591122060,20.9347
1591122120,20.9325
1591122180,20.9278
1591122240,20.9283
1591122300,20.9401
1591122360,20.9390
1591122420,20.9229
1591122480,20.9337
1591122540,20.9330
1591122600,20.9321
1591122660,20.9175
1591122720,20.9161
1591122780,20.9111
1591122840,20.9116
1591122900,20.9146
1591122960,20.9194
1591123020,20.9307
1591123080,20.9222
1591123140,20.9223
1591123200,20.9214
1591123260,20.9318
1591123320,20.9478
1591123380,20.9530
1591123440,20.9604
1591123500,20.9715
1591123560,20.9769
1591123620,20.9769
1591123680,20.9738
1591123740,20.9810
1591123800,21.0069
1591123860,21.0377
1591123920,21.0208
1591123980,21.0156
1591124040,21.0128
1591124100,21.0112
1591124160,21.0285
1591124220,21.0551
1591124280,21.0644
1591124340,21.0533
1591124400,21.0407
1591124460,21.0392
1591124520,21.0406
1591124580,21.0342
1591124640,21.0361
1591124700,21.0497
1591124760,21.0676
1591124820,21.0645
1591124880,21.0638
1591124940,21.0715
1591125000,21.0736
1591125060,21.0773
1591125120,21.1027
1591125180,21.1059
1591125240,21.0941
1591125300,21.1093
1591125360,21.1161
1591125420,21.1257
1591125480,21.1320
1591125540,21.1454
1591125600,21.1492
1591125660,21.1606
1591125720,21.1336
1591125780,21.1133
1591125840,21.1178
1591125900,21.1269
1591125960,21.1224
1591126020,21.1324
1591126080,21.1095
1591126140,21.1230
1591126200,21.1153
1591126260,21.1078
1591126320,21.1027
1591126380,21.0925
1591126440,21.1033
1591126500,21.1102
1591126560,21.1048
1591126620,21.1111
1591126680,21.1205
1591126740,21.1259
1591126800,21.1335
1591126860,21.1342
1591126920,21.1216
1591126980,21.1185
1591127040,21.0985
1591127100,21.1186
1591127160,21.1312
1591127220,21.1407
1591127280,21.1432
1591127340,21.1425
1591127400,21.1564
1591127460,21.1693
1591127520,21.1611
1591127580,21.1754
1591127640,21.2057
1591128660,21.4000
1591129800,21.4250
1591129860,21.4464
1591129920,21.4795
1591129980,21.4825
1591130040,21.4811
1591130100,21.4873
1591130160,21.4935
1591130220,21.4793
1591130280,21.4585
1591130340,21.4531
1591130400,21.4450
1591130460,21.4519
1591130520,21.4530
1591130580,21.4517
1591130640,21.4194
1591130700,21.4673
1591130760,21.4630
1591130820,21.4775
1591130880,21.4702
1591130940,21.4791
1591131000,21.4779
1591131060,21.4834
1591131120,21.4927
1591131180,21.4934
1591131240,21.4953
1591131300,21.4767
1591131360,21.4837
1591131420,21.4800
1591131480,21.4812
1591131540,21.4679
1591189920,21.8495
1591189980,21.8655
1591190040,21.8701
1591190100,21.8393
1591190160,21.7780
1591190220,21.7586
1591190280,21.7332
1591190340,21.6496
1591190400,21.6390
1591190460,21.6320
1591190520,21.6385
1591190580,21.6548
1591190640,21.7020
1591190700,21.7163
1591190760,21.7485
1591190820,21.7444
1591190880,21.6737
1591190940,21.6412
1591191000,21.6594
1591191060,21.6839
1591191120,21.7705
1591191180,21.8116
1591191240,21.7705
1591191300,21.7480
1591191360,21.6852
1591191420,21.6577
1591191480,21.6294
1591191540,21.6568
1591191600,21.6953
1591191660,21.6758
1591191720,21.6523
1591191780,21.6439
1591191840,21.6202
1591191900,21.6202
1591191960,21.5909
1591192020,21.5510
1591192080,21.5086
1591192140,21.4703
1591192200,21.5452
1591192260,21.5785
1591192320,21.5679
1591192380,21.5567
1591192440,21.5210
1591192500,21.5288
1591192560,21.5451
1591192620,21.5573
1591192680,21.5841
1591192740,21.6104
1591192800,21.6837
1591192860,21.7199
1591192920,21.7168
1591192980,21.7107
1591193040,21.7203
1591193100,21.7325
1591193160,21.6986
1591193220,21.6953
1591193280,21.6869
1591193340,21.6703
1591193400,21.7082
1591193460,21.7116
1591193520,21.7269
1591193580,21.7267
1591193640,21.7045
1591193700,21.7051
1591193760,21.6885
1591193820,21.6854
1591193880,21.7096
1591193940,21.7149
1591194000,21.7143
1591194060,21.7033
1591194120,21.7409
1591194180,21.7406
1591194240,21.7529
1591194300,21.7910
1591194360,21.7830
1591194420,21.7871
1591194480,21.8009
1591194540,21.8035
1591194600,21.8689
1591194660,21.8411
1591194720,21.8216
1591194780,21.8058
1591194840,21.8181
1591194900,21.8082
1591194960,21.7907
1591195020,21.7883
1591195080,21.7761
1591195140,21.7755
1591195200,21.8060
1591195260,21.8059
1591195320,21.8027
1591195380,21.8139
1591195440,21.8453
1591195500,21.8272
1591195560,21.8092
1591195620,21.8291
1591195680,21.8008
1591195740,21.7900
1591195800,21.7985
1591195860,21.7740
1591195920,21.7628
1591195980,21.7733
1591196040,21.8051
1591196100,21.7971
1591196160,21.7872
1591196220,21.7745
1591196280,21.7785
1591196340,21.7861
1591196400,21.7680
1591196460,21.7919
1591196520,21.7955
1591196580,21.7809
1591196640,21.7850
1591196700,21.7957
1591196760,21.8005
1591196820,21.8075
1591196880,21.8108
1591196940,21.8166
1591197000,21.8282
1591197060,21.7913
1591197120,21.7959
1591197180,21.7932
1591197240,21.8075
1591197300,21.8159
1591197360,21.8205
1591197420,21.8207
1591197480,21.8080
1591197540,21.7908
1591197600,21.7742
1591197660,21.7584
1591197720,21.7886
1591197780,21.7835
1591197840,21.7979
1591197900,21.8109
1591197960,21.8002
1591198020,21.7945
1591198080,21.7961
1591198140,21.8012
1591198200,21.8083
1591198260,21.8221
1591198320,21.8220
1591198380,21.8367
1591198440,21.8501
1591198500,21.8454
1591198560,21.8390
1591198620,21.8354
1591198680,21.8235
1591198740,21.8289
1591198800,21.8327
1591198860,21.8361
1591198920,21.8199
1591198980,21.8277
1591199040,21.8333
1591199100,21.8300
1591199160,21.8297
1591199220,21.8143
1591199280,21.8082
1591199340,21.8113
1591199400,21.8059
1591199460,21.8063
1591199520,21.8077
1591199580,21.8137
1591199640,21.8097
1591199700,21.8126
1591199760,21.8192
1591199820,21.8020
1591199880,21.8014
1591199940,21.7990
1591200000,21.7952
1591200060,21.7923
1591200120,21.7929
1591200180,21.7758
1591200240,21.7771
1591200300,21.8006
1591200360,21.8088
1591200420,21.8094
1591200480,21.7951
1591200540,21.7919
1591200600,21.8105
1591200660,21.8056
1591200720,21.7935
1591200780,21.8066
1591200840,21.8198
1591200900,21.8126
1591200960,21.8166
1591201020,21.8079
1591201080,21.8023
1591201140,21.7951
1591201200,21.7600
1591201260,21.7522
1591201320,21.7371
1591201380,21.7496
1591201440,21.7513
1591201500,21.7680
1591201560,21.7533
1591201620,21.7580
1591201680,21.7698
1591201740,21.7742
1591201800,21.7969
1591201860,21.7953
1591201920,21.7826
1591201980,21.7848
1591202040,21.7794
1591202100,21.7899
1591202160,21.7863
1591202220,21.7885
1591202280,21.7912
1591202340,21.7812
1591202400,21.7813
1591202460,21.7819
1591202520,21.7948
1591202580,21.7911
1591202640,21.7891
1591202700,21.7929
1591202760,21.7761
1591202820,21.7537
1591202880,21.7492
1591202940,21.7351
1591203000,21.7310
1591203060,21.7346
1591203120,21.7068
1591203180,21.6912
1591203240,21.6839
1591203300,21.6823
1591203360,21.6848
1591203420,21.6888
1591203480,21.6811
1591203540,21.6809
1591203600,21.6803
1591203660,21.6782
1591203720,21.6593
1591203780,21.6273
1591203840,21.6343
1591203900,21.6059
1591203960,21.5741
1591204020,21.5615
1591204080,21.5461
1591204140,21.5412
1591204200,21.5715
1591204260,21.5991
1591204320,21.5874
1591204380,21.5727
1591204440,21.5905
1591204500,21.5878
1591204560,21.5961
1591204620,21.5960
1591204680,21.5979
1591204740,21.5949
1591204800,21.5961
1591204860,21.5882
1591204920,21.5984
1591204980,21.5969
1591205040,21.5963
1591205100,21.5909
1591205160,21.5895
1591205220,21.5968
1591205280,21.6215
1591205340,21.6364
1591205400,21.6166
1591205460,21.6279
1591205520,21.6222
1591205580,21.6114
1591205640,21.6084
1591205700,21.6042
1591205760,21.5959
1591205820,21.5822
1591205880,21.5715
1591205940,21.5765
1591206000,21.5679
1591206060,21.5799
1591206120,21.5779
1591206180,21.6017
1591206240,21.6256
1591206300,21.6110
1591206360,21.6099
1591206420,21.6089
1591206480,21.5973
1591206540,21.5998
1591206600,21.5894
1591206660,21.5783
1591206720,21.5475
1591206780,21.5408
1591206840,21.5305
1591206900,21.5136
1591206960,21.5004
1591207020,21.4811
1591207080,21.4618
1591207140,21.4941
1591207200,21.5328
1591207260,21.5631
1591207320,21.5596
1591207380,21.5398
1591207440,21.5565
1591207500,21.5838
1591207560,21.5871
1591207620,21.5855
1591207680,21.5680
1591207740,21.5612
1591207800,21.5693
1591207860,21.5656
1591207920,21.5577
1591207980,21.5760
1591208040,21.5511
1591208100,21.5338
1591208160,21.5371
1591208220,21.5395
1591208280,21.5435
1591208340,21.5588
1591208400,21.5437
1591208460,21.5226
1591208520,21.5272
1591208580,21.5285
1591208640,21.5263
1591208700,21.5466
1591208760,21.5664
1591208820,21.5592
1591208880,21.5714
1591208940,21.5513
1591209000,21.4977
1591209060,21.5155
1591209120,21.5276
1591209180,21.5304
1591209240,21.5592
1591209300,21.5555
1591209360,21.5622
1591209420,21.5617
1591209480,21.5404
1591209540,21.5335
1591209600,21.5072
1591209660,21.5016
1591209720,21.5150
1591209780,21.5250
1591209840,21.5453
1591209900,21.5284
1591209960,21.5315
1591210020,21.5258
1591210080,21.5112
1591210140,21.5102
1591210200,21.4912
1591210260,21.4818
1591210320,21.4917
1591210380,21.5043
1591210440,21.4857
1591210500,21.4848
1591210560,21.4638
1591210620,21.4519
1591210680,21.4759
1591210740,21.4655
1591210800,21.4317
1591210860,21.4467
1591210920,21.4596
1591210980,21.4526
1591211040,21.4555
1591211100,21.4521
1591211160,21.4588
1591211220,21.4678
1591211280,21.4604
1591211340,21.4348
1591211400,21.4431
1591211460,21.4521
1591211520,21.4267
1591211580,21.4320
1591211640,21.4363
1591211700,21.4376
1591211760,21.4270
1591211820,21.4277
1591211880,21.4290
1591211940,21.4350
1591212000,21.4217
1591212060,21.4268
1591212120,21.4499
1591212180,21.4796
1591212240,21.5072
1591212300,21.5275
1591212360,21.5428
1591212420,21.5547
1591212480,21.5217
1591212540,21.5204
1591212600,21.5198
1591212660,21.5164
1591212720,21.5304
1591212780,21.5322
1591212840,21.5501
1591212900,21.5425
1591212960,21.5336
1591213020,21.5289
1591213080,21.5360
1591213140,21.5276
1591213200,21.5203
1591213260,21.5271
1591213320,21.5383
1591213380,21.5286
1591213440,21.5212
1591213500,21.5074
1591213560,21.5017
1591213620,21.5021
1591213680,21.5016
1591213740,21.4958
1591213800,21.4853
1591213860,21.4711
1591213920,21.4614
1591213980,21.4797
1591214040,21.4887
1591215120,21.4700
1591216200,21.4556
1591216260,21.4444
1591216320,21.4682
1591216380,21.4664
1591216440,21.4568
1591216500,21.4516
1591216560,21.4251
1591216620,21.4233
1591216680,21.4159
1591216740,21.4074
1591216800,21.4022
1591216860,21.4133
1591216920,21.4079
1591216980,21.4202
1591217040,21.4391
1591217100,21.4435
1591217160,21.4472
1591217220,21.4481
1591217280,21.4441
1591217340,21.4479
1591217400,21.4556
1591217460,21.4668
1591217520,21.4700
1591217580,21.4771
1591217640,21.4649
1591217700,21.4696
1591217760,21.4695
1591217820,21.4698
1591217880,21.4717
1591217940,21.4807
1591276200,21.3894
1591276260,21.3205
1591276320,21.2832
1591276380,21.2417
1591276440,21.2778
1591276500,21.3010
1591276560,21.2999
1591276620,21.2512
1591276680,21.2273
1591276740,21.2624
1591276800,21.2709
1591276860,21.3261
1591276920,21.3551
1591276980,21.3666
1591277040,21.3819
1591277100,21.3367
1591277160,21.3031
1591277220,21.2856
1591277280,21.2828
1591277340,21.2740
1591277400,21.2971
1591277460,21.3153
1591277520,21.3048
1591277580,21.2770
1591277640,21.2817
1591277700,21.2698
1591277760,21.2745
1591277820,21.2402
1591277880,21.2243
1591277940,21.1909
1591278000,21.1917
1591278060,21.1804
1591278120,21.1906
1591278180,21.2286
1591278240,21.1619
1591278300,21.1038
1591278360,21.1201
1591278420,21.0686
1591278480,21.1323
1591278540,21.1394
1591278600,21.1838
1591278660,21.2497
1591278720,21.2523
1591278780,21.2644
1591278840,21.2447
1591278900,21.2102
1591278960,21.2232
1591279020,21.2151
1591279080,21.1963
1591279140,21.1306
1591279200,21.1746
1591279260,21.1937
1591279320,21.2218
1591279380,21.2283
1591279440,21.2430
1591279500,21.2116
1591279560,21.1947
1591279620,21.1695
1591279680,21.1685
1591279740,21.1937
1591279800,21.1892
1591279860,21.2060
1591279920,21.2175
1591279980,21.2209
1591280040,21.2440
1591280100,21.2594
1591280160,21.2651
1591280220,21.2591
1591280280,21.2118
1591280340,21.2068
1591280400,21.2317
1591280460,21.2374
1591280520,21.2520
1591280580,21.2643
1591280640,21.2863
1591280700,21.2622
1591280760,21.2410
1591280820,21.2349
1591280880,21.2214
1591280940,21.2108
1591281000,21.1919
1591281060,21.1870
1591281120,21.1966
1591281180,21.1664
1591281240,21.1121
1591281300,21.1327
1591281360,21.1279
1591281420,21.1432
1591281480,21.1354
1591281540,21.1365
1591281600,21.1569
1591281660,21.1659
1591281720,21.1534
1591281780,21.1474
1591281840,21.1803
1591281900,21.1721
1591281960,21.1704
1591282020,21.2011
1591282080,21.2365
1591282140,21.3066
1591282200,21.2952
1591282260,21.3104
1591282320,21.3173
1591282380,21.3307
1591282440,21.3502
1591282500,21.3502
1591282560,21.3422
1591282620,21.3673
1591282680,21.3741
1591282740,21.3434
1591282800,21.3267
